shapeName,Cartogram Data (eg. Population),Color,Inset,Label
Glarus,2891.24057,,,
Luzern,28304.31765,,,
Bern,82365.69844,,,
Aargau,44509.24537,,,
Basel-Landschaft,20816.19197,,,
Zug,20308.51413,,,
Obwalden,2630.1019,,,
Nidwalden,3025.56778,,,
Grisons,14937.00048,,,
Appenzell Ausserrhoden,3254.50915,,,
Appenzell Innerrhoden,1046.87968,,,
Valais/Wallis,19819.03323,,,
Sankt Gallen,38961.85693,,,
Ticino,30990.05371,,,
Schwyz,9954.6804,,,
Zurich,155290.7418,,,
Thurgau,17358.08306,,,
Uri,2000.81065,,,
Schaffhausen,7293.68099,,,
Jura,5098.25717,,,
Fribourg,19459.65648,,,
Basel-City,38316.71638,,,
Solothurn,18620.63281,,,
Geneva,54591.22122,,,
Neuchâtel,16398.4668,,,
Vaud,58635.43105,,,