VARNAME_1,Population,Label
Ha Noi,8053663,HN
Ha Giang,854679,HG
Cao Bang,530341,CB
Bac Kan,313905,BK
Tuyen Quang,784811,TQ
Lao Cai,730420,LCa
Dien Bien,598856,DB
Lai Chau,460196,LC
Son La,1248415,SL
Yen Bai,821030,YB
Hoa Binh,854131,HB
Thai Nguyen,1286751,TNg
Lang Son,781655,LS
Quang Ninh,1320324,QN
Bac Giang,1803950,BG
Phu Tho,1463726,PT
Vinh Phuc,1151154,VP
Bac Ninh,1368840,BN
Hai Duong,1892254,HD
Hai Phong,2028514,HP
Hung Yen,1252731,HY
Thai Binh,1860447,TB
Ha Nam,852800,HNa
Nam Dinh,1780393,ND
Ninh Binh,982487,NB
Thanh Hoa,3640128,TH
Nghe An,3327791,NA
Ha Tinh,1288866,HT
Quang Binh,895430,QB
Quang Tri,632375,QT
Thua Thien Hue,1128620,TTH
Da Nang,1134310,DNa
Quang Nam,1495812,QNa
Quang Ngai,1231697,QNg
Binh Dinh,1486918,BD
Phu Yen,872964,PY
Khanh Hoa,1231107,KH
Ninh Thuan,590467,NT
Binh Thuan,1230808,BTh
Kon Tum,540438,KT
Gia Lai,1513847,GL
Dak Lak,1869322,DL
Dak Nong,622168,DNo
Lam Dong,1296906,LD
Binh Phuoc,994679,BP
Tay Ninh,1169165,TN
Binh Duong,2426561,BD
Dong Nai,3097107,DN
Ba Ria - Vung Tau,1148313,BV
Ho Chi Minh,8993082,SG
Long An,1688547,LA
Tien Giang,1764185,TG
Ben Tre,1288463,BT
Tra Vinh,1009168,TV
Vinh Long,1022791,VL
Dong Thap,1599504,DT
An Giang,1908352,AG
Kien Giang,1723067,KG
Can Tho,1235171,CT
Hau Giang,733017,HGi
Soc Trang,1199653,ST
Bac Lieu,907236,BL
Ca Mau,1194476,CM