ISO_CODE,Cartogram Data (eg. Population),Color,Inset,Label,ShapeName
AFG,38326027,,,,Afghanistan
AGO,32898997,,,,Angola
ALB,2872130,,,,Albania
AND,77020,,,,Andorra
ARE,9247550,,,,United Arab Emirates
ARG,44908441,,,,Argentina
ARM,2812496,,,,Armenia
ATG,92377,,,,Antigua and Barbuda
AUS,25544179,,,,Australia
AUT,8901106,,,,Austria
AZE,10273528,,,,Azerbaijan
BDI,12053897,,,,Burundi
BEL,11541273,,,,Belgium
BEN,12466819,,,,Benin
BFA,21231893,,,,Burkina Faso
BGD,166426993,,,,Bangladesh
BGR,7020235,,,,Bulgaria
BHR,1494033,,,,Bahrain
BHS,405779,,,,Bahamas
BIH,3340974,,,,Bosnia and Herzegovina
BLR,9661044,,,,Belarus
BLZ,392426,,,,Belize
BOL,11862346,,,,Bolivia (Plurinational State of)
BRA,212564935,,,,Brazil
BRB,280427,,,,Barbados
BRN,439893,,,,Brunei Darussalam
BTN,770004,,,,Bhutan
BWA,2523541,,,,Botswana
CAF,5272026,,,,Central African Republic
CAN,37758232,,,,Canada
CHE,8606431,,,,Switzerland
CHL,19206688,,,,Chile
CHN,1423998019,,,,China
CIV,26477574,,,,Côte d'Ivoire
CMR,26137129,,,,Cameroon
COD,91331950,,,,Democratic Republic of the Congo
COG,5635288,,,,Congo
COL,50617028,,,,Colombia
COM,798326,,,,Comoros
CPV,579933,,,,Cabo Verde
CRI,5105359,,,,Costa Rica
CUB,11309236,,,,Cuba
CYP,1233778,,,,Cyprus
CZE,10537911,,,,Czechia
DEU,83267655,,,,Germany
DJI,1082344,,,,Djibouti
DMA,71764,,,,Dominica
DNK,5810778,,,,Denmark
DOM,10939347,,,,Dominican Republic
DZA,43090987,,,,Algeria
ECU,17487163,,,,Ecuador
EGY,106538719,,,,Egypt
ERI,3523653,,,,Eritrea
ESH,551245,,,,Western Sahara
ESP,47329954,,,,Spain
EST,1329086,,,,Estonia
ETH,115638360,,,,Ethiopia
FIN,5525215,,,,Finland
FJI,918091,,,,Fiji
FRA,64457760,,,,France
FSM,111589,,,,Micronesia (Fed. States of)
GAB,2267995,,,,Gabon
GBR,66951174,,,,United Kingdom
GEO,3769183,,,,Georgia
GHA,31849246,,,,Ghana
GIN,13041586,,,,Guinea
GMB,2541049,,,,Gambia
GNB,1993303,,,,Guinea-Bissau
GNQ,1578373,,,,Equatorial Guinea
GRC,10543346,,,,Greece
GRD,123159,,,,Grenada
GRL,55934,,,,Greenland
GTM,17231172,,,,Guatemala
GUY,791842,,,,Guyana
HND,10041790,,,,Honduras
HRV,4114639,,,,Croatia
HTI,11234508,,,,Haiti
HUN,9770120,,,,Hungary
IDN,270825848,,,,Indonesia
IND,1389966387,,,,India
IRL,4925074,,,,Ireland
IRN,86990162,,,,Iran (Islamic Republic of)
IRQ,42042951,,,,Iraq
ISL,364340,,,,Iceland
ISR,8685594,,,,Israel
ITA,59639898,,,,Italy
JAM,2814473,,,,Jamaica
JOR,10817077,,,,Jordan
JPN,125542770,,,,Japan
KAZ,18861057,,,,Kazakhstan
KEN,51460211,,,,Kenya
KGZ,6372330,,,,Kyrgyzstan
KHM,16296280,,,,Cambodia
KIR,125256,,,,Kiribati
KNA,47681,,,,Saint Kitts and Nevis
KOR,51858128,,,,Republic of Korea
KWT,4468361,,,,Kuwait
LAO,7265653,,,,Lao People's Democratic Republic
LBN,5694522,,,,Lebanon
LBR,5034191,,,,Liberia
LBY,6612028,,,,Libya
LCA,178922,,,,Saint Lucia
LIE,38629,,,,Liechtenstein
LKA,21683162,,,,Sri Lanka
LSO,2239604,,,,Lesotho
LTU,2835900,,,,Lithuania
LUX,626079,,,,Luxembourg
LVA,1907244,,,,Latvia
MAR,36488843,,,,Morocco
MCO,37033,,,,Monaco
MDA,3095024,,,,Republic of Moldova
MDG,27879131,,,,Madagascar
MDV,510890,,,,Maldives
MEX,125610461,,,,Mexico
MHL,44081,,,,Marshall Islands
MKD,2114024,,,,North Macedonia
MLI,20886781,,,,Mali
MLT,509595,,,,Malta
MMR,53227971,,,,Myanmar
MNE,629890,,,,Montenegro
MNG,3266463,,,,Mongolia
MOZ,30720752,,,,Mozambique
MRT,4440933,,,,Mauritania
MUS,1296960,,,,Mauritius
MWI,19120882,,,,Malawi
MYS,33003638,,,,Malaysia
NAM,2467077,,,,Namibia
NER,23881690,,,,Niger
NGA,205780595,,,,Nigeria
NIC,6709705,,,,Nicaragua
NLD,17402277,,,,Netherlands
NOR,5367955,,,,Norway
NPL,28999227,,,,Nepal
NRU,12216,,,,Nauru
NZL,5026496,,,,New Zealand
OMN,4589136,,,,Oman
PAK,225112860,,,,Pakistan
PAN,4265541,,,,Panama
PER,33090281,,,,Peru
PHL,111287623,,,,Philippines
PLW,17947,,,,Palau
PNG,9648818,,,,Papua New Guinea
POL,38477966,,,,Poland
PRK,25813233,,,,Dem. People's Republic of Korea
PRT,10298399,,,,Portugal
PRY,6573039,,,,Paraguay
QAT,2828630,,,,Qatar
ROU,19489730,,,,Romania
RUS,145761663,,,,Russian Federation
RWA,12987331,,,,Rwanda
SAU,36229972,,,,Saudi Arabia
SDN,43828068,,,,Sudan
SEN,16215467,,,,Senegal
SGP,5893519,,,,Singapore
SLB,682897,,,,Solomon Islands
SLE,8140209,,,,Sierra Leone
SLV,6280922,,,,El Salvador
SMR,34192,,,,San Marino
SOM,16272861,,,,Somalia
SRB,7384063,,,,Serbia
SSD,10545441,,,,South Sudan
STP,216222,,,,Sao Tome and Principe
SUR,603805,,,,Suriname
SVK,5457552,,,,Slovakia
SVN,2116252,,,,Slovenia
SWE,10321414,,,,Sweden
SWZ,1174222,,,,Eswatini
SYC,105006,,,,Seychelles
SYR,20486043,,,,Syrian Arab Republic
TCD,16379185,,,,Chad
TGO,8342236,,,,Togo
THA,71389374,,,,Thailand
TJK,9442817,,,,Tajikistan
TKM,6204366,,,,Turkmenistan
TLS,1289754,,,,Timor-Leste
TON,104873,,,,Tonga
TTO,151390,,,,Trinidad and Tobago
TUN,12106251,,,,Tunisia
TUR,83811681,,,,Türkiye
TUV,10998,,,,Tuvalu
TWN,23800896,,,,"China, Taiwan Province of China"
TZA,60771966,,,,United Republic of Tanzania
UGA,43685863,,,,Uganda
UKR,44090693,,,,Ukraine
URY,3428271,,,,Uruguay
USA,335388238,,,,United States of America
UZB,33243463,,,,Uzbekistan
VAT,5250,,,,Holy See
VCT,104712,,,,Saint Vincent and the Grenadines
VEN,28628832,,,,Venezuela (Bolivarian Republic of)
VNM,96203595,,,,Viet Nam
VUT,307972,,,,Vanuatu
WSM,213059,,,,Samoa
XKX,1675138,,,,Kosovo (under UNSC res. 1244)
YEM,31927129,,,,Yemen
ZAF,58466143,,,,South Africa
ZMB,18654918,,,,Zambia
ZWE,15505226,,,,Zimbabwe
